measure,label,family,level,unit,description,interpretation,requires,references
transition_overlap_rate,Transition overlap rate,interruption,person,per minute,Times per minute this person came in during the final moments of the partner's turn -- early onsets that reflect accurate projection of the turn end rather than competition for the floor.,"Often read as a marker of engagement and shared rhythm, in contrast to mid-turn interruption.","turn_set, overlap_evidence",Zimmerman & West (1975) -- interruptions vs overlaps in conversation | Drew (2009) -- 'Quit talking while I'm interrupting': overlap onset position
laughter_proportion,Time spent laughing,laughter,person,proportion,Proportion of the conversation containing this person's laughter.,,laughter,
laughter_rate,Laughter rate,laughter,person,per minute,Distinct laughter episodes per minute.,A lower bound: quiet or breathy laughter is under-detected by the general audio tagger used here.,laughter,"Provine (1993) Ethology 95:291 -- laughter as a social, largely involuntary vocalisation | Smoski & Bachorowski (2003) Cognition & Emotion 17:327 -- antiphonal laughter between friends and strangers"
laughter_reciprocity,Laughter reciprocity,laughter,dyad,index,"How evenly the two partners laughed, as 1 minus the absolute difference in their shares of the dyad's laughter episodes.",One-sided laughter -- one person laughing at everything the other says -- scores near 0 and is a different phenomenon from mutual amusement.,laughter,"Provine (1993) Ethology 95:291 -- laughter as a social, largely involuntary vocalisation | Smoski & Bachorowski (2003) Cognition & Emotion 17:327 -- antiphonal laughter between friends and strangers"
shared_laughter_rate,Shared laughter rate,laughter,dyad,per minute,Episodes per minute in which both people laughed within 1.5 seconds of one another.,Among the most direct available markers of a conversation going well. Laughing together is a joint achievement in a way that laughing is not.,laughter,"Provine (1993) Ethology 95:291 -- laughter as a social, largely involuntary vocalisation | Smoski & Bachorowski (2003) Cognition & Emotion 17:327 -- antiphonal laughter between friends and strangers"
agreement_rate,Explicit agreement rate,lexical,person,per 100 words,"Agreement tokens ('exactly', 'absolutely', 'of course') per 100 words, counted only inside floor-holding turns so that backchannels are not double-counted here.",,"transcript, turn_set",
compliment_rate,Compliments offered,lexical,person,per minute,"Utterances per minute opening an evaluation of the partner or their material ('that's so cool', 'I love that') followed by positive vocabulary within four words.",Compliment givers underestimate how good compliments make recipients feel and overestimate how awkward they will be (Boothby & Bohns 2021) -- so observed rates likely sit below what either partner would have enjoyed.,"transcript, turn_set",Boothby & Bohns (2021) Pers. Soc. Psychol. Bull. 47:826 -- underestimating the positive impact of compliments
discourse_marker_rate,Discourse marker rate,lexical,person,per 100 words,"'like', 'you know', 'I mean', 'sort of', 'well' and similar per 100 words, counting multi-word forms as single events.","These are ordinary words, so the transcript keeps them -- 10 of 11 survived in scripted material, against 4 of 9 hesitations. Kept separate from hesitation for that reason and one other: their frequency varies strongly with dialect and age, so pooling the two produces a 'filler rate' that mostly measures which kind a speaker favors.",transcript,Schiffrin (1987) Discourse Markers | Fox Tree (2010) Lang. Linguist. Compass 4:269
dispreference_marker_rate,Hedged-response rate,lexical,person,proportion,"Proportion of this person's responses (turns answering the partner) that open with the classic dispreference shape: a filler or 'well', with a hedge or apology in the first eight words. At least eight responses required.","Rejections and disagreements are delivered late and dressed in delay markers, hedges and apologies (Pomerantz 1984; Kendrick & Torreira 2015). A high rate means many responses carried that shape -- more pushing-back, or more discomfort doing it.","transcript, turn_set",Pomerantz (1984) in Structures of Social Action -- agreeing and disagreeing with assessments | Kendrick & Torreira (2015) Discourse Process. 52:255 -- the timing and construction of preference
emotion_word_rate,Emotion word rate,lexical,person,per 100 words,Explicit emotion terms per 100 words.,,transcript,
filler_rate,Filled pauses written down (lower bound),lexical,person,per 100 words,"Filled pauses ('um', 'uh') per 100 words, counted in the transcript. A lower bound only: recognizers are trained to produce clean text and delete most hesitations.","Not to be compared across sessions on its own. Measured against scripted material the recognizer kept 4 of 9 hesitations and 0 of 4 instances of 'uh', so this counts whichever ones happened to survive. Use the acoustic hesitation rate instead, and this one only to see how much the transcript lost.",transcript,
first_person_plural_rate,First-person plural rate,lexical,person,per 100 words,"'we', 'us', 'our' as a percentage of this person's words.",Plural self-reference indexes a sense of the pair as a unit and tends to rise as rapport develops.,transcript,
first_person_singular_rate,First-person singular rate,lexical,person,per 100 words,"'I', 'me', 'my' as a percentage of this person's words.","Self-reference tracks self-focus and, in first meetings, self-disclosure.",transcript,
gratitude_rate,Gratitude expressions,lexical,person,per 100 words,"Gratitude tokens ('thanks', 'appreciate') per 100 words.","Expressers systematically undervalue what gratitude does to the recipient (Kumar & Epley 2018), which makes the expressed rate worth tracking separately from general politeness.",transcript,Kumar & Epley (2018) Psychol. Sci. 29:1423 -- undervaluing gratitude
hedge_rate,Hedging rate,lexical,person,per 100 words,"Hedges ('maybe', 'I think', 'sort of') per 100 words, counting multi-word forms as single events.","Hedging softens claims. It reads as tentative in some contexts and as politeness in others, so direction is not assumed.",transcript,
hesitation_duration_mean,Mean hesitation length,lexical,person,seconds,Mean duration of the held vowels detected in this person's speech.,Longer hesitations indicate more time spent planning while holding the floor. Read with the rate: many short ones and few long ones are different habits.,filled_pauses,
hesitation_rate,Hesitation rate,lexical,person,per minute of speech,"Held, unchanging vowels per minute of this person's own speech, found in the audio rather than the transcript.","Higher values indicate more audible planning. This is the measure to use for hesitation: it does not depend on the recognizer, which deletes most of them. Rate is per minute of the speaker's own speech, not per minute of session, so it does not simply track how much they talked.",filled_pauses,Clark & Fox Tree (2002) Cognition 84:73 -- 'um' and 'uh' as words | Shriberg (2001) J. Int. Phon. Assoc. 31:153 -- disfluency in spontaneous speech
lexical_diversity,Lexical diversity,lexical,person,ratio,"Type-token ratio averaged over 100-word windows, so that it does not fall simply because a person spoke more.",Higher values indicate a more varied vocabulary.,transcript,
linguistic_style_matching,Linguistic style matching,lexical,dyad,index,"Similarity of the two partners' function-word usage across nine categories (pronouns, articles, conjunctions, prepositions, auxiliaries, adverbs, negations, quantifiers), averaged.","Function words are produced with little conscious control, so their convergence is taken as an implicit index of shared attention and rapport rather than of deliberate accommodation. 1.0 is identical style, 0.0 completely dissimilar.",transcript,Ireland & Pennebaker (2010) J. Pers. Soc. Psychol. 99:549 -- language style matching
open_question_ratio,Share of questions that are open,lexical,person,proportion,Proportion of this person's questions that begin with a wh-word rather than inviting a yes/no answer.,Open questions invite elaboration and are associated with deeper disclosure than closed ones.,"transcript, turn_set",
politeness_marker_rate,Politeness marker rate,lexical,person,per 100 words,"Gratitude, apology and 'please' per 100 words, following the strategy categories of the computational politeness literature.",,transcript,"Danescu-Niculescu-Mizil, Sudhof, Jurafsky, Leskovec & Potts (2013) ACL -- a computational approach to politeness"
positive_word_rate,Positive word rate,lexical,person,per 100 words,Positively valenced words per 100 words.,,transcript,
question_rate,Question rate,lexical,person,per minute,"Questions asked per minute, counting wh-questions, inverted yes/no questions and tag questions. Declarative questions are excluded here because identifying them depends entirely on recognizer punctuation.",Asking questions is among the most robust behavioral predictors of being liked in a first conversation.,"transcript, turn_set","Huang, Yeomans, Brooks, Minson & Gino (2017) J. Pers. Soc. Psychol. 113:430 -- question-asking increases liking"
question_reciprocity,Question reciprocity,lexical,dyad,index,"How evenly the two people asked questions, as 1 minus the absolute difference in their shares of the dyad's questions.",A one-sided interview scores near 0; a mutual exchange scores near 1.,"transcript, turn_set",
second_person_rate,Second-person rate,lexical,person,per 100 words,"'you', 'your' as a percentage of this person's words.",Attention directed at the partner rather than at oneself.,transcript,
self_disclosure_rate,Self-disclosure rate,lexical,person,per 100 words,"Clauses per 100 words in which a first-person-singular pronoun is followed within two words by a cognition or emotion term ('I think', 'I felt', 'I was nervous'). A lexical approximation: self-disclosure detection is an open problem, named as a missing detector by Cooney & Wheatley (2025).","Deeper, more personal exchange predicts connection, and people systematically underestimate how well going deeper will be received (Kardas, Kumar & Epley 2022). Read alongside emotion word rate: this counts disclosures about the self specifically.",transcript,"Kardas, Kumar & Epley (2022) J. Pers. Soc. Psychol. 122:367 -- miscalibrated expectations create a barrier to deeper conversation | Cooney & Wheatley (2025) Handbook of Social Psychology -- self-disclosure named among missing mid-level detectors"
speech_rate_wpm,Articulation rate,lexical,person,words per minute,"Words per minute of this person's actual speaking time, excluding silences. This is articulation rate rather than overall speaking rate, so a person who pauses often is not scored as slow.","Faster articulation is associated with fluency and confidence, but it also varies with dialect and with how well the pair know one another.","transcript, turn_set",
turn_initial_filler_proportion,Turns opened with a filler,lexical,person,proportion,"Proportion of this person's turns whose first word is a filled pause ('um', 'uh'). Turn-initial fillers mark planning at the point of taking the floor, as opposed to within-turn fillers, which hold it.","'Uh' and 'um' are signals, not noise: speakers use them to announce a delay while keeping their claim on the floor (Clark & Fox Tree 2002). High turn-initial rates go with responses that needed composing -- including dispreferred ones.","transcript, turn_set",Clark & Fox Tree (2002) Cognition 84:73 -- using uh and um in spontaneous speaking
word_count,Words spoken,lexical,person,count,Total words recognized for this person.,,transcript,
words_per_turn,Mean words per turn,lexical,person,words,Average number of words in this person's floor-holding turns.,,"transcript, turn_set",
f0_median,Median pitch,prosody,person,Hz,Median fundamental frequency across this person's voiced speech.,"Largely determined by anatomy, so reported for description and as a sanity check on tracking rather than as a behavioral measure.",prosody,
intensity_entrainment_synchrony,Loudness entrainment (synchrony),prosody,dyad,correlation,Correlation between a speaker's mean intensity on a turn and their partner's on the preceding turn.,,"prosody, turn_set",Levitan & Hirschberg (2011) Interspeech -- measuring acoustic-prosodic entrainment with respect to multiple levels and dimensions
intensity_variability,Loudness variability,prosody,person,dB,Standard deviation of this person's speech intensity in dB.,"Dynamic range of delivery. Note that absolute loudness is not reported: it depends on where the camera sat, not on the speaker.",prosody,
pitch_entrainment_convergence,Pitch convergence over time,prosody,dyad,correlation,Correlation between turn index and the absolute pitch difference between partners on adjacent turns. Negative values mean their pitches grew more similar as the conversation went on.,"Convergence is a different phenomenon from synchrony: two voices can track each other turn by turn without ever becoming more alike, and vice versa. Reported separately for that reason.","prosody, turn_set",Levitan & Hirschberg (2011) Interspeech -- measuring acoustic-prosodic entrainment with respect to multiple levels and dimensions
pitch_entrainment_synchrony,Pitch entrainment (synchrony),prosody,dyad,correlation,"Correlation between a speaker's mean pitch on a turn and their partner's mean pitch on the immediately preceding turn, in semitones.","Positive values mean the partners move their pitch together from turn to turn, which is the standard operationalisation of prosodic accommodation and has been linked to rapport and task success.","prosody, turn_set",Levitan & Hirschberg (2011) Interspeech -- measuring acoustic-prosodic entrainment with respect to multiple levels and dimensions
pitch_proximity,Pitch proximity,prosody,dyad,semitones (negated),"Mean absolute difference between the partners' turn-level mean pitch, in semitones, negated so that higher means more similar.","Proximity is confounded with sex differences in vocal register and should be interpreted within, not across, dyad compositions.","prosody, turn_set",Levitan & Hirschberg (2011) Interspeech -- measuring acoustic-prosodic entrainment with respect to multiple levels and dimensions
pitch_range,Pitch range,prosody,person,semitones,"Spread between the 5th and 95th percentile of this person's pitch, in semitones. Percentiles rather than min/max so that a single tracking error cannot define the range.",,prosody,
pitch_variability,Pitch variability,prosody,person,semitones,Standard deviation of this person's pitch in semitones. Semitones make the value comparable across speakers of different register.,"The main acoustic correlate of vocal expressiveness. Flat delivery sits near 2 semitones, animated delivery above 4.",prosody,
speech_rate_entrainment,Articulation-rate entrainment,prosody,dyad,correlation,"Correlation between a speaker's articulation rate on a turn and their partner's rate on the immediately preceding turn, standardized within speaker.","Speech rate is among the dimensions partners align on (Wynn & Borrie 2022), and listeners use the partner's rate to time their own turn entry (Corps, Gambi & Pickering 2020) -- so rate tracking is machinery for smooth turn-taking, not just mimicry.","transcript, turn_set",Wynn & Borrie (2022) J. Phonetics 94:101173 -- classifying conversational entrainment of speech behavior | Levitan & Hirschberg (2011) Interspeech -- entrainment metrics
turn_final_pitch_drop,Turns ended with falling pitch,prosody,person,proportion,Proportion of this person's turns whose voiced pitch fell over the final 600 ms (slope below -1 semitone per second). Turns with too little voiced material in the window are skipped; at least eight scoreable turns required.,The falling terminal contour is the classic turn-yielding cue (Duncan 1972): it tells the partner the floor is about to be free. Speakers who rarely produce it force their partners to guess at endings from syntax alone.,"prosody, turn_set",Duncan (1972) J. Pers. Soc. Psychol. 23:283 -- signals and rules for taking speaking turns | Bogels & Torreira (2015) J. Phonetics 52:46 -- intonational phrase boundaries in turn-end projection
uptalk_rate,Rising ends on statements,prosody,person,proportion,Proportion of this person's non-question turns whose voiced pitch rose over the final 600 ms (slope above +2 semitones per second). At least eight scoreable statements required.,"A statement delivered with a terminal rise invites confirmation -- listeners parse uptalk as a check on shared understanding, not as a question (Tomlinson & Fox Tree 2011). High rates can signal engagement-seeking; they also complicate the partner's turn-end prediction, because rise no longer means 'question'.","prosody, turn_set, transcript",Tomlinson & Fox Tree (2011) Cognition 119:58 -- listeners' comprehension of uptalk in spontaneous speech
voice_jitter,Jitter,prosody,person,proportion,"Local cycle-to-cycle variation in pitch period, a standard measure of vocal stability.","Elevated jitter accompanies vocal strain and some affective states. It is sensitive to recording quality, so it should be compared only within a consistent setup.",prosody,
voice_shimmer,Shimmer,prosody,person,proportion,Local cycle-to-cycle variation in amplitude.,,prosody,
change_of_state_rate,News-receipt rate,repair,person,per minute,Utterances per minute this person opened with 'oh' -- the token that marks a change in the speaker's state of knowledge.,'Oh' receipts news: it tells the partner their contribution changed what this person knows (Heritage 1985). Frequent receipts indicate the conversation is actually transmitting new information rather than circling shared ground.,"turn_set, transcript",Heritage (1985) in Structures of Social Action -- a change-of-state token and aspects of its sequential placement
other_repair_rate,Other-initiated repair rate,repair,person,per minute,"Times per minute this person stopped the conversation to signal they had not heard or understood -- 'huh?', 'what?', 'what do you mean?'. Counted from transcript form, so a lower bound.","Other-initiation is the listener's last resort (Schegloff et al. 1977). Cross-linguistically it occurs about once every 1.4 minutes (Dingemanse et al. 2015); rates far above that suggest the pair struggled to stay understood, far below that either effortless understanding or listeners letting trouble pass unaddressed.","turn_set, transcript","Schegloff, Jefferson & Sacks (1977) Language 53:361 -- the preference for self-correction | Dingemanse, Roberts et al. (2015) PLoS One 10:e0136100 -- universal principles in the repair of communication problems | Cooney & Wheatley (2025) Handbook of Social Psychology ch. 'Conversation' -- repair as the stoplight system of intersubjectivity"
repair_balance,Repair balance,repair,dyad,proportion,"Dyad-level share of repair that was self-initiated: self-repairs divided by self-repairs plus other-initiations, both partners pooled.","Near 1.0 the speakers catch their own trouble before it reaches the listener; lower values mean listeners are doing the repair work. The literature's strong expectation is a high value (Schegloff et al. 1977), so low values flag either genuine difficulty or a noisy transcript.","turn_set, transcript","Schegloff, Jefferson & Sacks (1977) Language 53:361 -- the preference for self-correction | Dingemanse, Roberts et al. (2015) PLoS One 10:e0136100 -- universal principles in the repair of communication problems | Cooney & Wheatley (2025) Handbook of Social Psychology ch. 'Conversation' -- repair as the stoplight system of intersubjectivity"
self_repair_rate,Self-repair rate,repair,person,per 100 words,"Explicit self-corrections per 100 words -- 'I mean', 'or rather', 'no wait'. Cut-offs and restarts do not survive transcription, so this undercounts true self-repair.",Speakers monitor their own talk and prefer to fix it themselves before the listener must ask (Schegloff et al. 1977; Levelt 1983). A moderate rate signals active self-monitoring; the absence of any self-repair in spontaneous speech usually means the transcript dropped it.,"turn_set, transcript","Levelt (1983) Cognition 14:41 -- monitoring and self-repair in speech | Schegloff, Jefferson & Sacks (1977) Language 53:361"
activity_exchange_rate,Carry exchange rate,rhythm,dyad,per 5 minutes,"How many times per five minutes the role of 'the one doing most of the talking' flipped, measured as sign changes of the talk balance smoothed over fifteen seconds.",Complementary to the cycle period: counts actual handovers of the carrying role rather than assuming a single stable rhythm. Very low values with unequal talk time indicate one person held the floor throughout.,turn_set,"Dabbs (1983) -- 'megaturns': aggregated blocks of vocal activity | Warner (1979) Lang. Speech 22:381; Warner (1992) Behav. Sci. 37:128 -- periodic rhythms in conversational speech | Warner, Malloy et al. (1987) J. Nonverbal Behav. 11:57 -- rhythmic organization predicts observer-rated positivity and involvement"
vocal_cycle_period,Vocal activity cycle period,rhythm,dyad,s,"Dominant period, in seconds, of the oscillation in which partner carries the talk -- found as the spectral peak of the second-by-second talk balance within a one-to-six-minute band. Withheld for conversations under five minutes.","Dyads trade multi-minute blocks of vocal activity, typically every 2-5 minutes. The period says how long one person carries before the roles swap; whether faster cycling is better is genuinely open -- the classic literature disagreed (rapport, distress, and a U-shaped account all had backers; Crown 1991 reviews the fight).",turn_set,"Dabbs (1983) -- 'megaturns': aggregated blocks of vocal activity | Warner (1979) Lang. Speech 22:381; Warner (1992) Behav. Sci. 37:128 -- periodic rhythms in conversational speech | Warner, Malloy et al. (1987) J. Nonverbal Behav. 11:57 -- rhythmic organization predicts observer-rated positivity and involvement"
vocal_cycle_strength,Vocal activity cyclicity,rhythm,dyad,proportion,Share of the talk balance's spectral power that falls in the one-to-six-minute band. High values mean the pair genuinely alternated long blocks of carrying the conversation; low values mean the balance wandered without periodic structure.,"The strength of the megaturn rhythm, independent of its period. Warner et al. (1987) found rhythmic organization predicted observer ratings of positive affect and involvement.",turn_set,"Dabbs (1983) -- 'megaturns': aggregated blocks of vocal activity | Warner (1979) Lang. Speech 22:381; Warner (1992) Behav. Sci. 37:128 -- periodic rhythms in conversational speech | Warner, Malloy et al. (1987) J. Nonverbal Behav. 11:57 -- rhythmic organization predicts observer-rated positivity and involvement"
callback_max_lag,Longest callback reach,semantic,person,turns,The largest number of turns any single callback reached back.,,semantics,
callback_mean_lag,Mean callback reach,semantic,person,turns,"Average number of turns a callback reached back, for this person's callbacks.",How far back the person retrieved material from.,semantics,
callback_rate,Long-range callback rate,semantic,person,per minute,"Turns per minute in which this person revived a topic that had been dropped at least four turns earlier, evidenced by a distinctive shared content term absent from every intervening turn.","Reviving an earlier thread demonstrates that the speaker retained and valued it, and is one of the more direct behavioral traces of attentive listening available from transcript alone.",semantics,
callback_reciprocity,Callback reciprocity,semantic,dyad,index,"How evenly the two partners revived each other's earlier material, as 1 minus the absolute difference in their shares.",,semantics,
followup_question_rate,Follow-up question rate,semantic,person,per minute,"Questions per minute that stayed on the partner's ground: the turn is a question, it responds to the partner, and its meaning is close to the partner's preceding turn (adjacent-turn cosine of at least 0.30).","It is specifically follow-up questions -- not questions in general -- that raise liking, because they show listening, understanding and care (Huang et al. 2017; Yeomans et al. 2019). The similarity threshold separates them from topic-switching questions, which do not carry the effect.","semantics, turn_set, transcript","Huang, Yeomans, Brooks, Minson & Gino (2017) J. Pers. Soc. Psychol. 113:430 -- it doesn't hurt to ask | Yeomans, Brooks, Huang, Minson & Gino (2019) J. Pers. Soc. Psychol. 117:1139 -- the cumulative benefits of follow-up questions"
mean_topic_duration,Mean topic duration,semantic,dyad,s,Average time spent on a topic before the conversation moved on.,Long topics indicate sustained joint attention; very short ones suggest the pair struggled to develop any subject.,semantics,
median_topic_duration,Median topic length,semantic,dyad,seconds,Median duration of the detected topic segments.,"Longer topics indicate a conversation that stays with a subject; shorter ones a conversation that ranges. Median rather than mean, because one long stretch at the end would otherwise dominate.",semantics,
other_directed_callback_rate,Callbacks to the partner's material,semantic,person,per minute,"Callbacks per minute in which this person revived something their *partner* had said, rather than returning to their own earlier point.","Separated from self-directed callbacks because the two mean opposite things: one shows attention to the partner, the other shows a speaker returning to their own agenda.",semantics,
partner_semantic_similarity,Language similarity between partners,semantic,dyad,cosine similarity,Cosine similarity between the average meaning vector of each person's turns. At least five embedded turns per person required.,Dyad-level semantic similarity of conversational language tracks the felt experience of shared reality -- thinking the same thoughts at the same time (Rossignac-Milon et al. 2021) -- and develops in initial unstructured interactions (Ta et al. 2017).,"semantics, turn_set","Rossignac-Milon, Bolger, Zee, Boothby & Higgins (2021) J. Pers. Soc. Psychol. 120:882 -- merged minds: generalized shared reality | Ta, Babcock & Ickes (2017) J. Lang. Soc. Psychol. 36:143 -- latent semantic similarity in initial interactions"
semantic_coherence_mean,Response coherence,semantic,person,cosine similarity,Mean cosine similarity between the meaning of this person's turns and their partner's immediately preceding turn.,"High values mean replies stay on the subject that was just raised. Very high values are not automatically good: a reply that merely restates the partner adds nothing, so this is best read together with question rate and topic initiation.","semantics, turn_set",
semantic_coherence_variability,Coherence variability,semantic,dyad,cosine similarity,Standard deviation of the turn-to-turn semantic similarity across the whole conversation.,A conversation that stays uniformly on one subject scores low; one that alternates between deep engagement and abrupt changes scores high.,semantics,
semantic_similarity_trend,Language convergence over time,semantic,dyad,difference in cosine similarity,Partner language similarity in the final third of the conversation minus the first third. Positive values mean the two people's language grew more alike as they talked.,"Shared reality is constructed during interaction, not imported into it (Rossignac-Milon et al. 2021). Convergence over the session is the trace of that construction; divergence means the pair pulled toward separate frames.","semantics, turn_set","Rossignac-Milon, Bolger, Zee, Boothby & Higgins (2021) J. Pers. Soc. Psychol. 120:882"
topic_count,Number of topics,semantic,dyad,count,Topic segments found by measuring lexical cohesion across a sliding window of turns and cutting at deep minima.,,semantics,
topic_initiation_share,Share of topics initiated,semantic,person,proportion,Proportion of topic segments this person opened.,Who introduces new subjects. Values far from 0.5 mean one person carried the burden of steering the conversation.,semantics,
topic_turnover_rate,Topic turnover rate,semantic,dyad,per minute,Number of topic changes per minute.,,semantics,
topics_initiated,Topics introduced,semantic,person,count,Number of topic segments whose first turn belongs to this person.,"Who moved the conversation on. Boundaries come from a drop in lexical cohesion between neighboring blocks of turns, so a 'topic' here is a stretch that hangs together, not a subject a human coder would name -- and the person credited is whoever spoke first after the boundary, which is usually but not always the one who introduced it.",semantics,
ending_negotiation_duration,Landing time,structure,dyad,s,Seconds from the first pre-closing signal (in the final quarter) to the actual end of the conversation. Unavailable when no pre-closing was detected -- common in lab sessions ended by the experimenter.,How long the pair took to land once someone signaled the approach. Long negotiations can mean reluctance to go -- or repeated missed exits; read together with preclosing_count.,"turn_set, transcript","Schegloff & Sacks (1973) Semiotica 7:289 -- opening up closings | Mastroianni, Gilbert, Cooney & Wilson (2021) PNAS 118:e2011809118 -- do conversations end when people want them to?"
greeted_at_open,Greeted at the open,structure,person,binary,"Whether this person produced a greeting token ('hi', 'hey', 'hello') in the first thirty seconds. 1 or 0.","Openings set the encounter's commitment level (Schegloff 1968). In lab sessions the greeting often happens before recording starts, so absence here describes the recording, not the person's manners.","turn_set, transcript",Schegloff (1968) Am. Anthropol. 70:1075 -- sequencing in conversational openings
preclosing_count,Exit signals offered,structure,person,count,"Pre-closing moves this person made in the final quarter of the conversation -- 'anyway', 'well, it was nice talking', 'I should go'. The offers, not the acceptance.","Endings are proposed and ratified, not announced (Schegloff & Sacks 1973). Repeated offers from one person that the conversation keeps outliving are the classic footprint of an ending the other party did not take up -- the mismatch Mastroianni et al. (2021) showed is the norm.","turn_set, transcript","Schegloff & Sacks (1973) Semiotica 7:289 -- opening up closings | Mastroianni, Gilbert, Cooney & Wilson (2021) PNAS 118:e2011809118 -- do conversations end when people want them to?"
expressivity_synchrony,Facial expressivity synchrony (above chance),synchrony,dyad,correlation above chance,"Coordination of how much each partner's face is moving, above the surrogate baseline.",,face,"Boker, Xu, Rotondo & King (2002) Psychol. Methods 7:338 -- windowed cross-correlation for irregular coupled series | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony"
head_movement_synchrony,Head movement synchrony (above chance),synchrony,dyad,correlation above chance,"Coordination of the partners' head pitch movement, above the surrogate baseline.","Captures mutual nodding and shared rhythm, including the listener nodding in time with the speaker's stressed syllables.",face,"Boker, Xu, Rotondo & King (2002) Psychol. Methods 7:338 -- windowed cross-correlation for irregular coupled series | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony"
loudness_synchrony,Loudness synchrony (above chance),synchrony,dyad,correlation above chance,"Coordination of the partners' speech intensity envelopes, above the surrogate baseline.","Because the two rarely speak at once, this largely reflects turn-level accommodation rather than moment-to-moment coupling.",prosody,"Boker, Xu, Rotondo & King (2002) Psychol. Methods 7:338 -- windowed cross-correlation for irregular coupled series | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony"
movement_synchrony,Body movement synchrony (above chance),synchrony,dyad,correlation above chance,"Coordination of the partners' hand and arm movement, above the surrogate baseline.",,body,"Boker, Xu, Rotondo & King (2002) Psychol. Methods 7:338 -- windowed cross-correlation for irregular coupled series | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony"
smile_synchrony,Smile synchrony (above chance),synchrony,dyad,correlation above chance,"How much the partners' smile intensity tracks each other, over and above the level produced by shuffled surrogates of the same signals.",Positive values indicate genuine facial mimicry. Values near zero mean the partners' smiling was no more aligned than two unrelated recordings would be.,face,"Boker, Xu, Rotondo & King (2002) Psychol. Methods 7:338 -- windowed cross-correlation for irregular coupled series | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony"
smile_synchrony_lag,Smile synchrony lead-lag,synchrony,dyad,s,Median lag at which the partners' smiling aligns best. Negative means person A's expression tends to come first.,Mimicry typically appears within a second. A lag near zero suggests simultaneous response to something shared rather than one copying the other.,face,"Boker, Xu, Rotondo & King (2002) Psychol. Methods 7:338 -- windowed cross-correlation for irregular coupled series | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony"
smile_synchrony_z,Smile synchrony reliability,synchrony,dyad,z,Standard deviations by which the observed smile synchrony exceeds its surrogate distribution. Values above about 2 are unlikely by chance.,Reported alongside the effect so a reader can tell a small reliable effect from a large unreliable one.,face,"Boker, Xu, Rotondo & King (2002) Psychol. Methods 7:338 -- windowed cross-correlation for irregular coupled series | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony"
fast_response_proportion,Proportion of fast responses,turn_taking,person,proportion,"Share of this person's responses that begin within 200 ms of the partner finishing, including those that begin slightly early.",A response inside 200 ms cannot have been planned after the partner stopped -- single-word production alone takes 400-600 ms (Indefrey 2011) -- so a high share indicates the person is projecting turn ends rather than reacting to them. Fast responses are read as connection by both partners and outside observers (Templeton et al. 2022).,turn_set,"Stivers et al. (2009) PNAS 106:10587 -- universality of ~200 ms turn transitions | Heldner & Edlund (2010) J. Phonetics 38:555 -- pauses, gaps and overlaps | Templeton, Chang, Reynolds, Cone LeBeaumont & Wheatley (2022) PNAS 119:e2116915119 -- fast response times signal social connection | Indefrey (2011) Front. Psychol. 2:255 -- the time course of word production"
listening_time,Time spent listening,turn_taking,person,seconds,Seconds during which the partner held the floor and this person was not speaking.,"Silence with the partner talking, as opposed to silence with nobody talking. This is the denominator the listening behaviors -- nodding, gaze, backchannels -- should be read against.",turn_set,
long_gap_rate,Long-gap transitions,turn_taking,dyad,proportion,Proportion of floor transfers preceded by more than two seconds of shared silence.,"Direction depends on the relationship: long gaps read as awkward between strangers but not between friends, where they can accompany comfortable reflection (Templeton et al. 2023). For first-meeting dyads -- this lab's design -- higher values lean toward disfluency.",turn_set,"Templeton, Chang, Reynolds, Cone LeBeaumont & Wheatley (2023) Phil. Trans. R. Soc. B 378:20210471 -- long gaps are awkward for strangers but not friends | Koudenburg, Postmes & Gordijn (2011) J. Exp. Soc. Psychol. 47:512 -- brief silences disrupt felt belonging"
longest_silence,Longest mutual silence,turn_taking,dyad,s,Duration of the single longest stretch with neither person speaking.,"A useful marker of a conversation stalling, and more diagnostic than the mean because a single long lapse is what participants remember.",turn_set,
mean_silence_duration,Mean mutual silence duration,turn_taking,dyad,s,Average length of mutual silences longer than 500 ms.,,turn_set,
mean_turn_duration,Mean turn duration,turn_taking,person,s,Average length of this person's floor-holding turns.,,turn_set,
median_turn_duration,Median turn length,turn_taking,person,seconds,Median duration of this person's floor-holding turns.,"Median rather than mean: turn lengths are strongly skewed, and one long story would move a mean by more than the rest of the conversation combined.",turn_set,
